"ID","Project ID","Project Name","Key ID","Key","Issue Type ID","Issue Type","Category ID","Category Name","Version ID","Version","Subject","Description","Status ID","Status","Priority ID","Priority","Milestone ID","Milestone","Resolution ID","Resolution","Assignee ID","Assignee","Create User ID","Created by","Created Date","Parent issue key","Start Date","Due date","Estimated Hours","Actual Hours","Update User ID","Updated by","Updated","Attachment","Shared File"
"8083092","158287","CSE213_assignment","9","CSE213_ASSIGNMENT-9","676266","Bug","","","155284","1.0","Invalid input during input events","Invalid inputs during any input events triggers a message of 20$\n![image][pasted-2026.03.12-21.55.52.png]\n![image][pasted-2026.03.12-22.22.05.png]\n![image][pasted-2026.03.12-22.22.09.png]\n![image][pasted-2026.03.12-22.22.11.png]","1","Open","2","High","","","","","","","865719","faawzash","Mar. 12, 2026 21:56","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 22:22","4","0"
"8083118","158287","CSE213_assignment","12","CSE213_ASSIGNMENT-12","676266","Bug","","","155284","1.0","No. of 20$ bills","On initial startup, the atm accepts 0 number of 20$ bills, which isn't a valid positive number of bills","1","Open","3","Normal","","","","","","","865719","faawzash","Mar. 12, 2026 22:19","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 22:19","0","0"
"8083113","158287","CSE213_assignment","11","CSE213_ASSIGNMENT-11","676266","Bug","","","155284","1.0","Card #","Card numbers are off by 1, i.e. Card #1 is mislabeled as Card #2 in the receipt and the same for Card #2\n![image][pasted-2026.03.12-22.11.24.png]\n![image][pasted-2026.03.12-22.12.10.png]","1","Open","4","Low","","","","","","","865719","faawzash","Mar. 12, 2026 22:12","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 22:12","2","0"
"8083096","158287","CSE213_assignment","10","CSE213_ASSIGNMENT-10","676266","Bug","","","155284","1.0","Withdrawal limit","An arbitrary daily withdrawal limit is set, no mention of which has been made in the given specifications\n![image][pasted-2026.03.12-21.59.53.png]","1","Open","2","High","","","","","","","865719","faawzash","Mar. 12, 2026 22:00","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 22:00","1","0"
"8083091","158287","CSE213_assignment","8","CSE213_ASSIGNMENT-8","676266","Bug","","","155284","1.0","typo_2","INSUFFICIENT misspelled as INSUFICIENT while withdrawing from money market\n![image][pasted-2026.03.12-21.53.59.png]","1","Open","4","Low","","","","","","","865719","faawzash","Mar. 12, 2026 21:54","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 21:54","1","0"
"8083031","158287","CSE213_assignment","2","CSE213_ASSIGNMENT-2","676266","Bug","","","155284","1.0","Hidden Transfer fee","No mention of 0.50$ transfer fee in the specs.\n![image][pasted-2026.03.12-21.31.15.png]\n![image][pasted-2026.03.12-21.31.25.png]","1","Open","2","High","","","","","","","865719","faawzash","Mar. 12, 2026 21:09","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 21:43","2","0"
"8083079","158287","CSE213_assignment","7","CSE213_ASSIGNMENT-7","676266","Bug","","","155284","1.0","Hidden deposit fee","A hidden 10$ deposit fee is deducted during deposits\n![image][pasted-2026.03.12-21.42.52.png]","1","Open","2","High","","","","","","","865719","faawzash","Mar. 12, 2026 21:43","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 21:43","1","0"
"8083073","158287","CSE213_assignment","6","CSE213_ASSIGNMENT-6","676266","Bug","","","155284","1.0","Typo_1","WOOD instead of WOULD in the ""would you like to do another transaction""\n![image][pasted-2026.03.12-21.37.43.png]","1","Open","4","Low","","","","","","","865719","faawzash","Mar. 12, 2026 21:38","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 21:38","1","0"
"8083035","158287","CSE213_assignment","3","CSE213_ASSIGNMENT-3","676266","Bug","","","155284","1.0","Transfer: accounts swapped","The from and to accounts are swapped on the receipt during transfer\n![image][pasted-2026.03.12-21.33.18.png]\nOriginally asked for a transfer from the savings account to the checking account.","1","Open","3","Normal","","","","","","","865719","faawzash","Mar. 12, 2026 21:10","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 21:33","1","0"
"8083049","158287","CSE213_assignment","4","CSE213_ASSIGNMENT-4","676266","Bug","","","155284","1.0","Inquiry: unknown deposit to savings","On inquiry to the money market account of card #1 an unknown error occurs and an amount of 500$ is deposited to the money market account.\n![image][pasted-2026.03.12-21.32.13.png]","1","Open","2","High","","","","","","","865719","faawzash","Mar. 12, 2026 21:19","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 21:32","2","0"
"8083061","158287","CSE213_assignment","5","CSE213_ASSIGNMENT-5","676266","Bug","","","155284","1.0","Wrong account label on receipt, on inquiry on money market account","On performing an inquiry on the money market account, in addition to the unknown error, the receipt denotes that an inquiry has been made on the Savings account.\n![image][pasted-2026.03.12-21.29.31.png]","1","Open","2","High","","","","","","","865719","faawzash","Mar. 12, 2026 21:30","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 21:30","1","0"
"8083028","158287","CSE213_assignment","1","CSE213_ASSIGNMENT-1","676266","Bug","","","155284","1.0","Withdrawal amount mismatch with labels","The amounts do not match\n20$ maps to 40$, \n40->60, \n60->100, \n100->200.\n\n","1","Open","2","High","","","","","","","865719","faawzash","Mar. 12, 2026 21:07","","Mar. 12, 2026","Mar. 12, 2026","","","865719","faawzash","Mar. 12, 2026 21:07","0","0"
